staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,orientation,Absolute Orientation Values,,,mean average threshold,
121,0.5,1,157.7869815,158.2766892,158.2766892,158.2843947,158.5749565,-1,1,0.481422833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
122,0.5,1,158.7851255,159.2594938,159.2594938,159.274472,159.5583416,-1,1,0.601074042,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
123,0.5,1,159.8807028,160.3683719,160.3683719,160.3747547,160.6581867,-1,1,0.784665333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
124,0.5,1,161.1709402,161.6591566,161.6591566,161.6684225,161.9522469,-1,1,0.734946958,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
125,0.5,1,162.4146864,162.9017116,162.9017116,162.9079178,163.1920744,-1,1,0.557977708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
126,0.5,1,163.4713431,163.9595907,163.9595907,163.9684362,164.252431,-1,1,0.563093125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
127,0.5,1,164.5519158,165.0266573,165.0266573,165.0418084,165.3192185,-1,1,0.514053625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
128,0.5,1,165.5537871,166.0442268,166.0442268,166.0519548,166.3418706,1,1,0.598182959,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
129,0.5,1,166.6686582,167.1353086,167.1353086,167.1585113,167.4258749,1,1,0.800667708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
130,0.5,1,167.947492,168.4352724,168.4352724,168.4418075,168.7251082,1,1,0.597967666,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
131,0.5,1,169.046232,169.5352926,169.5352926,169.5416982,169.8246657,1,1,0.690687584,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
132,0.5,1,170.2522568,170.7263086,170.7263086,170.7410406,171.01932,1,1,0.519256166,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
