trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
11,0,11,0,10,50.025195459020324,0.02604579192120582,[0.27111111111111114],[-0.012222222222222223],[1],[0],[0],[4.973681416944601],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
12,0,12,0,5,55.01273983402643,0.013975625042803586,[0.19555555555555557],[-0.2677777777777778],[1],[0],[0],[1.5625786250457168],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
13,0,13,0,5,56.59226208401378,0.013704458018764853,[0.20333333333333334],[-0.19],[1],[0],[0],[1.1083454160252586],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
14,0,14,0,5,57.71790570905432,0.013775708968751132,[-0.47555555555555556],[-0.02666666666666667],[1],[0],[0],[1.6727927909232676],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
15,0,15,0,10,59.4241645000875,0.02612766600213945,[0.43666666666666665],[0.027777777777777776],[1],[0],[0],[1.815885667107068],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
16,0,16,0,10,61.26997933408711,0.026092707994394004,"[0.2811111111111111, 0.2922222222222222]","[0.46555555555555556, 0.46555555555555556]","[1, 1]","[0, 0]","[0, 0]","[1.903700791997835, 3.475006917025894]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
17,0,17,0,10,64.77488291705959,0.026039291988126934,"[0.2922222222222222, 0.48444444444444446]","[0.46555555555555556, -0.29777777777777775]","[1, 1]","[0, 0]","[0, 0]","[0.06616162497084588, 1.8944214170332998]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
18,0,18,0,10,66.69837300002109,0.025844582938589156,"[-0.034444444444444444, -0.034444444444444444, -0.017777777777777778]","[-0.08777777777777777, -0.08777777777777777, -0.10888888888888888]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.6591973750619218, 1.7703716669930145, 2.496627292013727]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
19,0,19,0,5,69.20899299997836,0.013927499996498227,"[-0.017777777777777778, 0.4166666666666667]","[-0.10888888888888888, 0.04111111111111111]","[1, 1]","[0, 0]","[0, 0]","[0.12613400002010167, 1.6921412500087172]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
20,0,20,0,10,70.93504420900717,0.02653470798395574,"[0.4166666666666667, 0.13]","[0.04111111111111111, -0.2911111111111111]","[1, 1]","[0, 0]","[0, 0]","[0.11770383303519338, 2.2784266660455614]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
21,0,21,0,10,73.24258591700345,0.02599058300256729,[0.3377777777777778],[0.24666666666666667],[1],[0],[0],[1.573518665973097],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
22,0,22,0,5,74.82979729201179,0.013787042000330985,"[-0.1988888888888889, -0.1988888888888889, -0.19555555555555557]","[-0.4722222222222222, -0.4722222222222222, -0.4811111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.529555374989286, 2.6619538749800995, 3.4226798749295995]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
23,0,23,0,5,78.27067079208791,0.013976708054542542,[0.45444444444444443],[-0.25333333333333335],[1],[0],[0],[2.1718820000533015],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
24,0,24,0,10,80.47535937500652,0.02588641701731831,[-0.15888888888888889],[0.36444444444444446],[1],[0],[0],[2.2717179589672014],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
25,0,25,0,10,82.77637483400758,0.02630533289629966,"[0.25666666666666665, 0.2722222222222222]","[-0.39666666666666667, -0.39444444444444443]","[1, 1]","[0, 0]","[0, 0]","[2.443155707907863, 4.092806041939184]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
26,0,26,0,5,86.88337587506976,0.01380387507379055,"[0.2722222222222222, -0.07111111111111111]","[-0.39444444444444443, -0.3511111111111111]","[1, 1]","[0, 0]","[0, 0]","[0.1518738749437034, 1.6934507089899853]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
27,0,27,0,5,88.5938087090617,0.013757542008534074,"[-0.07111111111111111, -0.09888888888888889]","[-0.3511111111111111, -0.38555555555555554]","[1, 1]","[0, 0]","[0, 0]","[0.09096737497020513, 1.6662991249468178]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
28,0,28,0,10,90.29275850008707,0.02568641596008092,[-0.1988888888888889],[0.3711111111111111],[1],[0],[0],[2.6487475419417024],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
29,0,29,0,10,92.97157420904841,0.026233167038299143,[-0.3188888888888889],[-0.034444444444444444],[1],[0],[0],[1.9408425410510972],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
30,0,30,0,5,94.9259857920697,0.013781541958451271,[0.10222222222222223],[0.08],[1],[0],[0],[1.9674393329769373],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
31,0,31,0,10,96.92664554202929,0.02611500001512468,[-0.3688888888888889],[0.0033333333333333335],[1],[0],[0],[1.5315860420232639],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
32,0,32,0,10,98.48803312506061,0.02612591697834432,[-0.37666666666666665],[-0.32],[1],[0],[0],[2.9078969579422846],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
33,0,33,0,5,101.41016149998177,0.014100291999056935,"[-0.37666666666666665, -0.31444444444444447]","[-0.32, -0.09111111111111111]","[1, 1]","[0, 0]","[0, 0]","[0.14902487501967698, 1.4756304159527645]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
34,0,34,0,10,102.91913641698193,0.025980917038396,[0.2833333333333333],[-0.27111111111111114],[1],[0],[0],[2.16470616706647],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
35,0,35,0,5,105.09711879200768,0.013700833078473806,"[0.2833333333333333, 0.3488888888888889]","[-0.27111111111111114, 0.29555555555555557]","[1, 1]","[0, 0]","[0, 0]","[0.1452912089880556, 1.9619550000643358]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
36,0,36,0,5,107.07621475006454,0.013839959050528705,"[0.3488888888888889, -0.09666666666666666]","[0.29555555555555557, 0.03]","[1, 1]","[0, 0]","[0, 0]","[0.12012170895468444, 1.509272416937165]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
37,0,37,0,10,108.61885633401107,0.025946582900360227,"[-0.09666666666666666, -0.16777777777777778]","[0.03, -0.4577777777777778]","[1, 1]","[0, 0]","[0, 0]","[0.12326495791785419, 2.656630999990739]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
38,0,38,0,5,111.28887450008187,0.013833250035531819,[0.22444444444444445],[0.4677777777777778],[1],[0],[0],[2.3716984590282664],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
39,0,39,0,5,113.67860362504143,0.01404779206495732,[0.03666666666666667],[-0.33444444444444443],[1],[0],[0],[1.7151781249558553],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
40,0,40,0,5,115.4112348749768,0.013938167016021907,[-0.3111111111111111],[0.24],[1],[0],[0],[1.7742526249494404],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
41,0,41,0,5,117.20289983402472,0.013950500055216253,"[-0.3111111111111111, 0.35333333333333333]","[0.24, 0.2922222222222222]","[1, 1]","[0, 0]","[0, 0]","[0.13312483299523592, 1.8494231660151854]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
