trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
113,0,113,0,10,350.8497687,350.8497687,0.050597688,351.8585265,[-0.08611111111111111],[0.37592592592592594],[1],[0],[0],[1.8610335811972618],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
114,0,114,0,10,352.7670933,352.7670933,0.053526128,353.7734955,[0.41203703703703703],[-0.42407407407407405],[1],[0],[0],[3.888402421027422],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
115,0,115,0,5,356.6822446,356.6822446,0.028738171,357.6867921,[0.06018518518518518],[-0.10462962962962963],[1],[0],[0],[2.5817336328327656],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
116,0,116,0,10,359.3254972,359.3254972,0.049603024,360.3345905,[0.07962962962962963],[0.24259259259259258],[1],[0],[0],[3.1266504414379597],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
117,0,117,0,5,362.4737832,362.4737832,0.024237733,363.4816614,[-0.262037037037037],[-0.4759259259259259],[1],[0],[0],[3.5527043491601944],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
118,0,118,0,10,366.0873296,366.0873296,0.051835462,367.0952012,[0.041666666666666664],[-0.2638888888888889],[1],[0],[0],[2.6576926093548536],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
119,0,119,0,10,368.7996075,368.7996075,0.050849242,369.8050488,[-0.512962962962963],[-0.21851851851851853],[1],[0],[0],[2.5767109747976065],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
120,0,120,0,10,371.4332517,371.4332517,0.051186131,372.4415388,[-0.25092592592592594],[0.14629629629629629],[1],[0],[0],[2.0088799837976694],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
121,0,121,0,10,373.4975644,373.4975644,0.052318573,374.5053604,[-0.3],[-0.2962962962962963],[1],[0],[0],[1.8588411398231983],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
122,0,122,0,10,375.4124322,375.4124322,0.05157724,376.4203908,[0.11481481481481481],[-0.2935185185185185],[1],[0],[0],[1.6931014340370893],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
123,0,123,0,10,377.1642584,377.1642584,0.05517057,378.168829,[0.3675925925925926],[0.001851851851851852],[1],[0],[0],[3.820379873737693],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
124,0,124,0,10,381.0416053,381.0416053,0.052812351,382.0487519,[0.07314814814814814],[0.4842592592592593],[1],[0],[0],[3.224012490361929],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
125,0,125,0,10,384.320935,384.320935,0.050708355,385.3293087,[0.5009259259259259],[-0.025925925925925925],[1],[0],[0],[3.858415363356471],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
126,0,126,0,5,388.2018481,388.2018481,0.025992397,389.2092018,[-0.040740740740740744],[-0.3527777777777778],[1],[0],[0],[1.9012139532715082],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
